name;desciption;type;address;working_hours
Фитнес-клуб с бассейном Обертайх;Отель в здании богато украшенного особняка: номера с одной спальней в ретростиле, крытый бассейн и спа.;Место активного отдыха;ул. Гоголя, 17, Калининград, Калининградская обл., 236008;Утро, День, Ночь
Белый мост;Мост;Достопримечательность;пруд Верхний, Калининградская обл., Калининград, Калининградская обл., 236008;Утро, День, Ночь
Юность;Аттракционы и Колесо обозрения;Место активного отдыха;ул. Азовская, 4, Калининград, Калининградская обл., 236008;Утро, День
"Детская площадка ""Пиратский корабль""";Детская площадка;Место активного отдыха;ул. Тельмана, 3, Калининград, Калининградская обл., 236029;Утро, День, Ночь
Фьюжн Экспресс;Паназиатская кухня;Кафе;ул. Горького, 23А, Калининград, Калининградская обл., 236029;Утро, День
Амплитуда;Развлекательный центр;Место активного отдыха;ул. Генерал-лейтенанта Озерова, 24А, Калининград, Калининградская обл., 236029;День
"Башня ""Врангеля""";Башня Врангеля — фортификационное сооружение, находящееся в городе Калининград.;Достопримечательность;ул. Пролетарская, 2, Калининград, Калининградская обл., 236029;Утро, День, Ночь
Паб Британника;Бар;Бар;ТРК Эпицентр, ул. Профессора Баранова, 30, Калининград, Калининградская обл., 236040;День
Калининград-Пассажирский (Южный вокзал);Ж/д станция;Достопримечательность;Калининград, Калининградская обл., 236961;Утро, День, Ночь
Макдоналдс;Фастфуд;Ресторан;пл. Калинина, 26, Калининград, Калининградская обл., 236961;Утро, День, Ночь
"Равелин ""Хаберберг""";"Равелин ""Хаберберг"" построен во второй половине XIX века, получил название от прилегающего городского района. Равелин состоит из редюита, капонира и двух полукапониров. Объект культурного наследия регионального значения.";Достопримечательность;пр-т. Калинина, 2, Калининград, Калининградская обл., 236039;Утро, День, Ночь
Памятный знак Героям-комсомольцам, погибшим при штурме Кёнигсберга;Памятный знак героям-комсомольцам, погибшим при штурме Кёнигсберга установлен в 1988 году.;Достопримечательность;пр-т. Калинина, Калининград, Калининградская обл., 236039;Утро, День, Ночь
"Равелин ""Фридланд""";"Равелин ""Фридланд"" построен во второй половине XIX века, состоит из редюита, капонира и двух полукапониров, получил название из-за соседства с Фридландскими воротами. Объект культурного наследия регионального значения.";Достопримечательность;пр-т. Калинина, 4, Калининград, Калининградская обл., 236039;Утро, День, Ночь
Bar Bastion;Бар;Бар;ул. Дзержинского, 31, Калининград, Калининградская обл., 236004;День, Ночь
"Таверна ""Берлога""";"Таверна ""Берлога""-это уютная и загадочная таверна,которая удивит Вас своим интерьером в охотничьем стиле и с настоящим,согревающим камином.";Бар;ул. Дзержинского, 17А, Калининград, Калининградская обл., 236004;День, Ночь
Дом смотрителя Высокого моста;Дом смотрителя Высокого моста, в котором находились подъёмные механизмы, построен в Кёнигсберге в 1899 году.;Достопримечательность;ул. Багратиона, 4, Калининград, Калининградская обл., 236039;Утро, День, Ночь
Высокий мост;Первый деревянный мост, соединивший в Кёнигсберге район Форштадт с островом Ломзе, был построен в 1520 году. В 1882 году Высокий мост был перестроен: были укреплены кирпичные опоры, детали конструкции заменены металлическими. В это же время юго-западнее моста был построен дом смотрителя Высокого моста.;Достопримечательность;Прего́ля, Калининградская обл., Калининград, Калининградская обл., 236039;Утро, День, Ночь
Памятник Сому;Памятник сому открыт в Калининграде 10 августа 2018 года в 130 м северо-западнее Высокого моста.;Достопримечательность;Калининград, Калининградская обл., 236039;Утро, День, Ночь
Форт № 11 «Дёнхофф»;Форт №11 – фортификационное сооружение города-цитадели Кёнигсберга, одного из пятнадцати основных фортов, построенных в 1877–1881 годах.;Достопримечательность;ул. Энергетиков, Калининград, Калининградская обл., 236034;День
"Пейнтбол & Лазертаг клуб ""Штурм""";Пейнтбольный клуб;Место активного отдыха;ул. Энергетиков, Калининград, Калининградская обл., 236011;Утро, День
Meat House / Шенфлиз;Кафе;Кафе;ул. Дзержинского, 210а, Калининград, Калининградская обл., 236034;День, Ночь
"Фитнес-центр ""Атлетика""";Спортивный зал;Место активного отдыха;ул. Дзержинского, 168е, Калининград, Калининградская обл., 236034;Утро, День, Ночь
Блин Ланч;Кафе;Кафе;ул. Дзержинского, 130, Калининград, Калининградская обл., 236004;Утро, День
Суши КИМ;Суши;Ресторан;ул. ал. Смелых, 8, Калининград, Калининградская обл., 236004;Утро, День, Ночь
Парк Южный;Ю́жный парк — парк в Калининграде. Пейзажный парк создан 9 декабря 1841 года по распоряжению Фридриха Вильгельма IV. В 1927 году назывался Южным парком, в 1938 году переименован в Парк Хорста Весселя, после Второй мировой войны неофициально назывался Матросским парком, с 1957 по настоящее время — Южный парк.;Место активного отдыха;ул. ал. Смелых, 2, Калининград, Калининградская обл., 236039;Утро, День, Ночь
Могила Иммануила Канта;Массивный, но элегантный кенотаф, установленный в 1924 году в честь немецкого мыслителя XVIII века.;Достопримечательность;ул. Канта, Калининград, Калининградская обл., 236039;Утро, День, Ночь
